	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
211241	tt0412922	7.6	20330	Little Manhattan	2005	84	Comedy,Family,Romance
211270	tt0413015	7.0	14246	Mrs Henderson Presents	2005	103	Comedy,Drama,Music
211295	tt0413099	5.4	124154	Evan Almighty	2007	96	Comedy,Family,Fantasy
211365	tt0413267	6.1	236513	Shrek the Third	2007	93	Adventure,Animation,Comedy
211380	tt0413300	6.2	428503	Spider-Man 3	2007	139	Action,Adventure,Sci-Fi
211438	tt0413466	6.0	4346	Wassup Rockers	2005	111	Comedy,Drama
211505	tt0413615	8.4	1144	Unforgivable Blackness: The Rise and Fall of Jack Johnson	2004	214	Biography,Documentary,Sport
211574	tt0413879	5.0	3516	Cake	2005	94	Comedy,Romance
211577	tt0413893	7.8	4987	The Taste of Tea	2004	143	Comedy,Fantasy
211579	tt0413895	6.3	31298	Charlotte's Web	2006	97	Comedy,Family,Fantasy
211631	tt0414055	6.9	59281	Elizabeth: The Golden Age	2007	114	Biography,Drama,History
211661	tt0414161	2.5	1188	Intermedio	2005	85	Horror,Thriller
211666	tt0414195	7.1	1470	Chinaman	2005	88	Drama
211670	tt0414200	6.7	1196	Off Screen	2005	94	Crime,Drama,Thriller
211720	tt0414344	6.9	1159	The War Within	2005	90	Drama
211732	tt0414387	7.8	215613	Pride & Prejudice	2005	129	Drama,Romance
211753	tt0414426	6.2	2135	Quid Pro Quo	2008	82	Drama,Mystery,Romance
211920	tt0414850	6.4	1629	Balas & Bolinhos	2001	62	Comedy,Crime
211921	tt0414851	7.1	1729	Balas & Bolinhos - O Regresso	2004	108	Adventure,Comedy,Crime
211922	tt0414852	7.2	60167	District B13	2004	84	Action,Crime,Sci-Fi
211923	tt0414853	5.6	23281	Barnyard	2006	90	Animation,Comedy,Family
211934	tt0414879	5.9	1517	The Black Box	2005	90	Mystery,Thriller
211961	tt0414931	6.7	4573	Breaking News	2004	90	Action,Crime,Drama
211974	tt0414951	6.4	14109	The Quiet	2005	96	Crime,Drama,Thriller
211989	tt0414982	5.8	113546	Final Destination 3	2006	93	Fantasy,Horror,Mystery
211994	tt0414993	7.3	208036	The Fountain	2006	96	Drama,Sci-Fi
211999	tt0415003	5.5	2618	Garv: Pride and Honour	2004	162	Action,Crime,Drama
212040	tt0415080	6.3	1289	Triad Underworld	2004	85	Action,Crime,Drama
212070	tt0415127	7.2	2993	The Man from London	2007	139	Crime,Drama,Mystery
212074	tt0415141	5.3	5152	Mama's Boy	2007	93	Comedy,Drama
212084	tt0415160	3.6	3937	Minotaur	2006	93	Adventure,Fantasy,Horror
212087	tt0415167	4.0	4900	Mortuary	2005	94	Horror,Mystery,Thriller
212118	tt0415219	5.5	1295	Promedio Rojo	2004	99	Comedy,Fantasy,Romance
212163	tt0415306	6.6	144004	Talladega Nights: The Ballad of Ricky Bobby	2006	108	Action,Comedy,Sport
212178	tt0415345	2.4	2175	Seven Mummies	2006	90	Action,Adventure,Drama
212192	tt0415380	6.9	1173	Throw Down	2004	95	Drama
212249	tt0415481	7.1	1767	Alyosha Popovich and Tugarin Zmey	2004	72	Animation,Comedy,Family
212253	tt0415489	3.8	1526	American Crude	2008	96	Comedy,Drama
212267	tt0415607	7.5	3456	The Willow Tree	2005	96	Drama
212276	tt0415678	6.0	1602	Boy s tenyu	2005	132	Action,Drama,Sport
212277	tt0415679	5.1	3538	Boy Eats Girl	2005	80	Comedy,Fantasy,Horror
212282	tt0415689	5.8	1225	Ouija Board	2004	92	Horror,Mystery,Romance
212316	tt0415768	5.5	2546	Dus	2005	152	Action,Crime,Drama
212322	tt0415778	5.1	4696	End Game	2006	93	Action,Crime,Drama
212336	tt0415819	6.5	1165	The Guy Was Cool	2004	113	Comedy,Romance
212339	tt0415833	6.2	1216	Hate Crime	2005	103	Crime,Drama,Mystery
212346	tt0415850	4.3	2730	Robbery Alla Turca	2005	\N	Adventure,Comedy,Crime
212349	tt0415855	5.5	1263	Hotel	2004	76	Drama,Horror,Mystery
212350	tt0415856	6.3	5506	Hounddog	2007	102	Drama,Music
212368	tt0415908	4.5	4001	Kaal	2005	126	Adventure,Horror,Mystery
212374	tt0415932	6.7	4641	Lemming	2005	129	Drama,Mystery,Thriller
212387	tt0415949	5.4	2836	Keeping Up with the Steins	2006	90	Comedy
212396	tt0415965	6.8	18559	Martian Child	2007	106	Comedy,Drama,Family
212405	tt0415978	7.3	32769	Me and You and Everyone We Know	2005	91	Comedy,Drama
212423	tt0416032	7.2	1201	Mila from Mars	2004	91	Drama
212430	tt0416044	7.3	40421	Mongol: The Rise of Genghis Khan	2007	126	Action,Adventure,Biography
212434	tt0416051	5.7	1698	Mr. Fix It	2006	93	Comedy,Romance
212496	tt0416185	6.7	19199	Resurrecting the Champ	2007	112	Drama,Sport
212511	tt0416212	7.3	21618	The Secret Life of Bees	2008	114	Drama
212517	tt0416220	7.3	6142	Kamikaze Girls	2004	102	Comedy
212529	tt0416236	6.6	76392	The Spiderwick Chronicles	2008	96	Adventure,Family,Fantasy
212555	tt0416292	7.2	1589	A Driver for Vera	2004	105	Drama
212560	tt0416315	6.3	60561	Wolf Creek	2005	99	Horror,Thriller
212561	tt0416316	5.8	3571	Wolfhound	2006	136	Action,Adventure,Fantasy
212562	tt0416320	7.7	183046	Match Point	2005	124	Drama,Romance,Thriller
212569	tt0416331	6.8	2550	Go for Zucker	2004	95	Comedy
212644	tt0416449	7.7	662120	300	2006	117	Action,Fantasy
212657	tt0416471	6.2	2879	American Gun	2005	95	Drama
212669	tt0416496	5.7	31052	Bandidas	2006	93	Action,Comedy,Crime
212670	tt0416499	7.1	3333	Fighter in the Wind	2004	120	Action,Biography,Drama
212675	tt0416508	7.1	51585	Becoming Jane	2007	120	Biography,Drama,Romance
212718	tt0416675	6.1	3018	Dark Matter	2007	88	Drama
212796	tt0416853	5.8	1603	The Doll Master	2004	90	Horror,Thriller
212797	tt0416854	7.3	2696	Insaat	2003	113	Comedy,Crime,Drama
212805	tt0416871	6.0	3691	Jade Warrior	2006	110	Action,Adventure,Drama
212810	tt0416881	7.6	1127	Josee, the Tiger and the Fish	2003	116	Drama,Romance
212817	tt0416891	5.7	1249	The Kid & I	2005	93	Comedy
212847	tt0416960	8.6	9185	The Lizard	2004	115	Comedy,Drama
212852	tt0416979	6.6	2053	Meu Tio Matou um Cara	2004	87	Adventure,Comedy
212859	tt0416991	7.7	3029	Moolaadé	2004	124	Drama
212863	tt0417001	5.9	28002	Must Love Dogs	2005	98	Comedy,Romance
212883	tt0417046	5.7	1486	Comrade Pedersen	2006	123	Drama
212886	tt0417056	1.9	16100	Pledge This!	2006	91	Comedy
212892	tt0417072	6.4	4562	R-Point	2004	107	Action,Horror,War
212935	tt0417148	5.5	121990	Snakes on a Plane	2006	105	Action,Adventure,Crime
212950	tt0417189	7.1	7778	Time to Leave	2005	81	Drama
212958	tt0417202	7.2	2229	Tito	2004	120	Action,Crime,Drama
212966	tt0417217	6.2	39385	Two for the Money	2005	122	Drama,Sport,Thriller
212970	tt0417225	6.2	4811	Idlewild	2006	121	Crime,Drama,Musical
212979	tt0417241	7.0	1098	Villain	2003	162	Action,Drama,Romance
212980	tt0417243	6.9	2516	Vital	2004	86	Drama,Thriller
213046	tt0417385	7.6	6364	12 and Holding	2005	94	Drama
213054	tt0417397	7.2	17848	9th Company	2005	139	Action,Drama,History
213062	tt0417415	6.5	2452	Aliens of the Deep	2005	100	Documentary,Family
213071	tt0417433	5.8	18889	Annapolis	2006	108	Drama,Romance,Sport
213156	tt0417614	6.4	2298	Dreamland	2006	88	Drama
213168	tt0417658	6.6	12733	Factotum	2005	94	Comedy,Drama,Romance
213184	tt0417686	2.9	1034	Forest of the Damned	2005	95	Horror
213202	tt0417741	7.6	377892	Harry Potter and the Half-Blood Prince	2009	153	Adventure,Family,Fantasy
213204	tt0417745	4.7	1683	Headspace	2005	89	Horror,Mystery,Sci-Fi
213207	tt0417751	5.4	1523	Her Minor Thing	2005	91	Comedy,Romance
213222	tt0417791	7.9	12752	Rory O'Shea Was Here	2004	104	Comedy,Drama
213254	tt0417871	5.2	2560	Klimt	2006	131	Biography,Drama
213290	tt0417944	6.4	3155	Manuale d'amore	2005	116	Comedy,Drama,Romance
213305	tt0417976	5.6	8517	The Promise	2005	121	Action,Drama,Fantasy
213313	tt0418004	6.7	6080	Neverwas	2005	103	Drama,Fantasy,Mystery
213324	tt0418038	7.6	5954	Outfoxed: Rupert Murdoch's War on Journalism	2004	75	Documentary
213346	tt0418110	7.2	7473	Romanzo Criminale	2005	152	Crime,Drama
213393	tt0418239	7.0	2256	Tickets	2005	109	Comedy,Drama
213403	tt0418259	6.3	2220	Tu la conosci Claudia?	2004	104	Comedy,Mystery,Romance
213410	tt0418279	7.1	548894	Transformers	2007	144	Action,Adventure,Sci-Fi
213439	tt0418362	6.8	11046	Mujhse Shaadi Karogi	2004	163	Comedy,Drama,Romance
213486	tt0418455	7.8	39629	Adam's Apples	2005	94	Comedy,Crime,Drama
213488	tt0418460	6.8	8269	Aitraaz	2004	160	Drama,Romance,Thriller
213491	tt0418471	5.8	1044	A Groom from the Security Entity	2004	\N	Comedy
213509	tt0418586	6.4	6284	The Cake Eaters	2007	86	Comedy,Drama,Romance
213530	tt0418627	2.7	4718	Death Tunnel	2005	97	Horror
213539	tt0418647	6.9	10839	Dreamer: Inspired by a True Story	2005	106	Drama,Family,Sport
213558	tt0418689	7.1	108008	Flags of our Fathers	2006	135	Drama,History,War
213581	tt0418753	6.8	5906	Inside Deep Throat	2005	89	Biography,Documentary,History
213583	tt0418758	6.6	1524	Jacquou le croquant	2007	140	Adventure,Drama
213587	tt0418763	7.0	155520	Jarhead	2005	125	Biography,Drama,War
213591	tt0418773	7.0	20063	Junebug	2005	106	Comedy,Drama
213593	tt0418778	6.1	4768	Infection	2004	98	Drama,Horror,Sci-Fi
213617	tt0418819	6.2	83956	Land of the Dead	2005	93	Horror,Sci-Fi,Thriller
213623	tt0418832	5.4	12808	Lie with Me	2005	93	Drama,Romance
213643	tt0418879	5.3	1581	Memory	2006	98	Drama,Horror,Mystery
213645	tt0418887	6.0	3443	We Are Not Angels 2	2005	89	Comedy
213689	tt0419058	6.6	10455	Phir Hera Pheri	2006	153	Comedy,Crime
213695	tt0419073	6.8	2561	Princess	2006	82	Action,Animation,Drama
213701	tt0419086	5.3	1217	Al-raghba	2002	\N	Drama,Romance
213737	tt0419146	6.6	1751	A Soap	2006	104	Comedy,Drama
213742	tt0419160	4.5	1177	Spirit Trap	2005	91	Horror,Thriller
213757	tt0419198	7.2	12379	The Tiger and the Snow	2005	114	Comedy,Drama,Romance
213780	tt0419256	6.9	2740	Wah-Wah	2005	120	Comedy,Drama
213790	tt0419279	7.7	2001	Yesterday	2004	90	Drama
213791	tt0419280	6.3	3692	Premonition	2004	95	Horror
213799	tt0419294	7.4	35926	The Three Burials of Melquiades Estrada	2005	121	Adventure,Crime,Drama
213871	tt0419420	7.2	2582	Adam & Paul	2004	83	Comedy,Drama
213877	tt0419434	7.4	2967	American Hardcore	2006	100	Documentary,History,Music
213881	tt0419449	6.3	2307	Antares	2004	105	Drama,Romance
213888	tt0419468	5.4	2494	Baabul	2006	169	Drama,Family,Romance
213901	tt0419515	7.1	1736	Blood and Bones	2004	140	Drama
213920	tt0419641	6.2	1814	Chromophobia	2005	136	Drama
213928	tt0419663	3.9	1142	Cruel World	2005	88	Comedy,Drama,Horror
213936	tt0419677	7.7	43577	Dead Man's Shoes	2004	90	Crime,Drama,Thriller
213949	tt0419704	4.7	1840	Donkey Xote	2007	90	Animation,Family
213950	tt0419706	5.2	93991	Doom	2005	105	Action,Adventure,Horror
213971	tt0419749	7.1	30048	Find Me Guilty	2006	125	Biography,Comedy,Crime
213981	tt0419766	5.8	1099	Garçon stupide	2004	94	Comedy,Drama,Romance
213985	tt0419773	6.9	1184	Gespenster	2005	85	Drama
213989	tt0419781	8.8	6398	Graves End	2005	90	Mystery,Thriller
214017	tt0419843	6.5	29288	In the Land of Women	2007	97	Comedy,Drama,Romance
214034	tt0419881	6.5	2051	Kim Novak Never Swam in Genesaret's Lake	2005	95	Crime,Drama
214038	tt0419887	7.6	72285	The Kite Runner	2007	128	Drama
214061	tt0419946	4.7	29500	The Marine	2006	92	Action,Drama,Thriller
214065	tt0419952	6.6	1256	06/05	2004	117	Drama,Thriller
214085	tt0419984	5.1	32663	Mr. Woodcock	2007	87	Comedy,Romance,Sport
214093	tt0420015	6.8	6140	Nine Lives	2005	115	Drama
214121	tt0420076	5.9	2737	Pokémon: Jirachi - Wish Maker	2003	81	Action,Adventure,Animation
214126	tt0420087	6.8	20491	A Prairie Home Companion	2006	105	Comedy,Drama,Music
214180	tt0420206	7.4	12095	Summer Storm	2004	98	Comedy,Drama,Romance
214181	tt0420211	6.4	1355	Sorte Nula	2004	85	Crime,Mystery
214187	tt0420223	7.6	200173	Stranger Than Fiction	2006	113	Comedy,Drama,Fantasy
214197	tt0420238	6.1	32925	The Tale of Despereaux	2008	93	Adventure,Animation,Comedy
214201	tt0420251	7.0	17056	Three... Extremes	2004	118	Horror
214206	tt0420260	7.4	3827	Tony Takitani	2004	105	Drama
214221	tt0420291	7.0	4965	Keane	2004	100	Drama,Mystery,Thriller
214222	tt0420293	6.9	26853	The Stanford Prison Experiment	2015	122	Biography,Drama,History
214223	tt0420294	5.9	61200	The Texas Chainsaw Massacre: The Beginning	2006	91	Horror,Thriller
214226	tt0420304	7.1	1836	Viruddh... Family Comes First	2005	132	Drama,Family
214233	tt0420318	7.8	2802	The Wedding	2004	109	Comedy,Drama
214238	tt0420332	7.9	41302	Veer-Zaara	2004	192	Drama,Family,Musical
214342	tt0420509	7.2	11821	The Aura	2005	134	Crime,Drama,Thriller
214360	tt0420548	7.1	3953	Bombón: El Perro	2004	97	Drama
214364	tt0420555	5.7	5836	How Much Do You Love Me?	2005	95	Comedy,Drama,Romance
214386	tt0420609	7.1	15091	Infamous	2006	110	Biography,Crime,Drama
214442	tt0420740	6.0	4218	A Little Trip to Heaven	2005	98	Drama,Thriller
214448	tt0420757	5.6	6863	Man About Town	2006	96	Comedy,Drama
214520	tt0420901	7.7	10294	Beyond the Gates	2005	115	Drama,History,War
214555	tt0420982	7.2	4358	Blind Man's Bluff	2005	111	Comedy,Crime,Thriller
214585	tt0421045	5.8	3048	Bickford Shmeckler's Cool Ideas	2006	79	Comedy,Romance
214589	tt0421051	1.9	13505	Daniel the Wizard	2004	81	Comedy,Crime,Fantasy
214591	tt0421054	6.0	60719	Domino	2005	127	Action,Biography,Crime
214605	tt0421073	6.8	99803	Street Kings	2008	109	Action,Crime,Drama
214611	tt0421082	7.7	55433	Control	2007	122	Biography,Drama,Music
214618	tt0421090	6.3	2108	Zerophilia	2005	90	Comedy,Romance
214685	tt0421206	6.9	36770	Gridiron Gang	2006	125	Crime,Drama,Sport
214701	tt0421229	7.6	2849	Mrs. Palfrey at the Claremont	2005	108	Comedy,Drama
214708	tt0421238	7.4	45642	The Proposition	2005	104	Crime,Drama,Western
214709	tt0421239	6.5	100976	Red Eye	2005	85	Mystery,Thriller
214849	tt0421528	6.5	1671	20 Centimeters	2005	112	Comedy,Musical
214885	tt0421625	7.4	5343	Istanbul Tales	2005	99	Drama
214921	tt0421715	7.8	509155	The Curious Case of Benjamin Button	2008	166	Drama,Fantasy,Romance
214926	tt0421729	4.7	35520	Big Momma's House 2	2006	99	Comedy,Crime
214958	tt0421974	5.8	3973	Sky Fighters	2005	102	Action,Adventure
214964	tt0421994	6.8	25804	Imagine Me & You	2005	90	Comedy,Drama,Romance
214971	tt0422015	7.4	6690	The Ax	2005	117	Comedy,Crime,Drama
214996	tt0422091	6.7	15274	Dhoom	2004	129	Action,Crime,Thriller
214997	tt0422093	5.7	11400	Diary of a Mad Black Woman	2005	116	Comedy,Drama,Romance
215006	tt0422133	6.2	1994	Cold Showers	2005	102	Drama
215035	tt0422236	5.5	1973	Fida	2004	122	Action,Crime,Drama
215051	tt0422272	6.1	14055	Fragile	2005	101	Horror,Thriller
215057	tt0422295	6.5	14074	Fur: An Imaginary Portrait of Diane Arbus	2006	122	Biography,Drama,Romance
215066	tt0422320	7.8	6385	Ghilli	2004	160	Action,Comedy,Romance
215106	tt0422401	5.7	25294	Hatchet	2006	85	Comedy,Horror
215128	tt0422460	5.7	1379	2 Girls	2005	107	Drama
215138	tt0422491	7.0	1442	The Intruder	2004	130	Drama
215152	tt0422528	6.5	5130	Sarah Silverman: Jesus Is Magic	2005	72	Comedy,Documentary,Music
215199	tt0422689	4.6	1131	Madurey	2004	145	Action
215214	tt0422720	6.4	88409	Marie Antoinette	2006	123	Biography,Drama,History
215230	tt0422774	4.1	17155	Are We Done Yet?	2007	92	Comedy,Family,Fantasy
215233	tt0422779	3.8	3682	Murder-Set-Pieces	2004	105	Horror
215234	tt0422783	7.4	5231	Music Within	2007	94	Biography,Comedy,Drama
215261	tt0422861	5.6	5700	The Oh in Ohio	2006	88	Comedy,Drama,Romance
215292	tt0422950	6.3	1408	Phir Milenge	2004	142	Drama
215339	tt0423087	6.5	1803	Rok Sako To Rok Lo	2004	\N	Adventure,Musical,Romance
215363	tt0423169	6.6	10770	Sherrybaby	2006	96	Drama
215364	tt0423176	7.1	2576	The World	2004	143	Drama
215393	tt0423294	6.7	59154	Surf's Up	2007	85	Animation,Comedy,Family
215396	tt0423310	7.5	3003	The Syrian Bride	2004	97	Comedy,Drama
215415	tt0423382	6.1	2847	God Save the King	2005	94	Comedy,Drama,Music
215422	tt0423409	6.8	11687	Tristram Shandy: A Cock and Bull Story	2005	94	Comedy
215440	tt0423470	7.8	2275	Vasoolraja M.B.B.S	2004	160	Comedy,Drama
215456	tt0423515	1.9	1436	Way of the Vampire	2005	82	Action,Horror,Thriller
215597	tt0423853	7.9	1062	Be Here to Love Me: A Film About Townes Van Zandt	2004	99	Biography,Documentary,Music
215602	tt0423866	8.1	42684	3-Iron	2004	88	Crime,Drama,Romance
215608	tt0423877	5.4	1091	Boudu	2005	104	Comedy
215622	tt0423977	7.0	59171	Charlie Bartlett	2007	97	Comedy,Drama,Romance
215643	tt0424024	7.6	5068	Darwin's Nightmare	2004	107	Documentary
215677	tt0424095	6.6	95250	Flushed Away	2006	85	Adventure,Animation,Comedy
215695	tt0424129	6.6	1854	Gunner Palace	2004	85	Documentary,War
215701	tt0424136	7.1	141553	Hard Candy	2005	104	Crime,Drama,Thriller
215724	tt0424205	7.8	24307	Joyeux Noel	2005	116	Drama,History,Music
215736	tt0424227	8.1	15186	Turtles Can Fly	2004	98	Drama,War
215744	tt0424237	7.0	4172	Lila Says	2004	89	Crime,Drama,Romance
215766	tt0424287	6.2	1863	The Mostly Unfabulous Social Life of Ethan Green	2005	88	Comedy,Romance
215771	tt0424297	5.7	1437	NVA	2005	98	Comedy
215789	tt0424338	5.6	1690	Palais royal!	2005	110	Comedy
215794	tt0424345	7.4	120912	Clerks II	2006	97	Comedy
215833	tt0424430	7.3	2479	Crying Out Love in the Center of the World	2004	138	Drama,Romance
215836	tt0424434	7.8	3748	Beautiful City	2004	101	Drama
215895	tt0424565	7.9	2815	The Wild Parrots of Telegraph Hill	2003	83	Documentary
216001	tt0424769	6.5	1020	Aboud ala el hedoud	1999	105	Comedy
216003	tt0424774	3.5	23630	The Adventures of Sharkboy and Lavagirl 3-D	2005	93	Action,Adventure,Family
216011	tt0424789	6.7	1777	Allegro	2005	88	Drama,Romance,Sci-Fi
216021	tt0424823	5.3	37707	Balls of Fury	2007	90	Comedy,Crime,Sport
216040	tt0424863	5.3	1272	The Book of Revelation	2006	118	Crime,Drama,Mystery
216043	tt0424873	2.9	3365	Dark Spells	2004	95	Horror,Thriller
216045	tt0424880	7.3	39023	Candy	2006	116	Drama,Romance
216048	tt0424885	4.3	1368	Celsius 41.11: The Temperature at Which the Brain... Begins to Die	2004	72	Documentary,War
216058	tt0424908	6.8	11870	Copying Beethoven	2006	104	Biography,Drama,Music
216069	tt0424938	5.5	5205	Karla	2006	99	Crime,Drama,Thriller
216076	tt0424958	5.1	1148	Disaster!	2005	83	Animation,Comedy,Sci-Fi
216081	tt0424971	6.8	2192	Drabet	2005	100	Drama
216085	tt0424986	7.7	1756	El Nazer	2000	120	Comedy
216087	tt0424992	7.2	1803	Emma's Bliss	2006	99	Drama,Romance
216088	tt0424993	5.5	40011	Employee of the Month	2006	103	Comedy,Romance
216100	tt0425027	6.9	3394	Flywheel	2003	120	Drama
216111	tt0425055	5.9	2317	Game 6	2005	87	Comedy,Drama,Sport
216115	tt0425061	6.5	179892	Get Smart	2008	110	Action,Adventure,Comedy
216121	tt0425079	7.8	8271	Lovelorn	2005	142	Drama
216122	tt0425080	6.1	1992	Pains of Autumn	2009	112	Drama
216130	tt0425094	6.7	1094	Heavens Fall	2006	105	Crime,Drama
216137	tt0425112	7.9	396692	Hot Fuzz	2007	121	Action,Comedy
216141	tt0425123	6.7	89110	Just Like Heaven	2005	95	Comedy,Fantasy,Romance
216157	tt0425151	6.2	1461	Jimmy and Judy	2006	99	Crime,Drama,Thriller
216165	tt0425162	8.1	1498	Kaazhcha	2004	137	Drama
216183	tt0425196	6.4	4117	Like Minds	2006	110	Crime,Horror,Mystery
216193	tt0425210	7.8	280230	Lucky Number Slevin	2006	110	Crime,Drama,Mystery
216201	tt0425235	7.3	2326	We Shall Overcome	2006	109	Drama,Family
216202	tt0425236	5.9	1677	Mary	2005	83	Drama,Thriller
216206	tt0425253	5.9	7565	Mini's First Time	2006	91	Comedy,Crime,Drama
216229	tt0425308	6.2	3982	Noise	2007	92	Comedy,Crime,Drama
216235	tt0425321	7.5	5002	The Yacoubian Building	2006	161	Drama
216239	tt0425326	7.0	10409	Outsourced	2006	103	Comedy,Drama,Romance
216244	tt0425333	8.2	14618	Pardon	2005	94	Comedy,Drama
216261	tt0425379	7.3	11374	I'm the Angel of Death: Pusher III	2005	90	Crime,Drama,Thriller
216271	tt0425395	5.3	3499	Relative Strangers	2006	86	Comedy
216279	tt0425413	6.6	61696	Run, Fatboy, Run	2007	100	Comedy,Romance,Sport
216285	tt0425426	6.1	3058	Sans Kapiyi Kirinca	2005	107	Comedy
216286	tt0425430	5.4	35458	The Messengers	2007	90	Horror,Mystery,Thriller
216352	tt0425598	7.2	8218	Dave Chappelle's Block Party	2005	103	Comedy,Documentary,Music
216353	tt0425600	6.3	1337	Sorry, Haters	2005	83	Drama,Thriller
216354	tt0425601	7.3	10824	Trailer Park Boys: The Movie	2006	95	Comedy,Crime
216361	tt0425622	6.9	2490	Vinci	2004	108	Comedy,Crime
216366	tt0425637	7.4	39855	Red Cliff	2008	146	Action,Adventure,Drama
216381	tt0425661	6.5	2111	The Great Yokai War	2005	124	Adventure,Family,Fantasy
216422	tt0425743	3.2	2276	American Soldiers	2005	103	Action,Drama,History
216474	tt0425985	6.7	2061	The Chinese Botanist's Daughters	2006	105	Drama,Romance
216498	tt0426037	6.8	1399	The Intruder	2005	109	Mystery,Thriller
216540	tt0426155	7.4	1819	Ushpizin	2004	90	Drama
216645	tt0426396	2.6	1154	Alien Abduction	2005	96	Horror,Sci-Fi,Thriller
216691	tt0426459	6.4	27100	Feast	2005	95	Action,Comedy,Horror
216694	tt0426462	5.0	2482	Fifty Pills	2006	85	Comedy,Crime,Drama
216720	tt0426501	5.6	1549	Johnny Was	2006	93	Action,Crime,Drama
216754	tt0426550	2.6	2840	Popstar	2005	94	Comedy,Family,Romance
216775	tt0426578	7.6	24016	Sophie Scholl: The Final Days	2005	120	Biography,Crime,Drama
216786	tt0426592	4.5	56750	Superhero Movie	2008	75	Action,Comedy
216789	tt0426596	7.8	1108	The Take	2004	87	Documentary
216805	tt0426615	2.7	7687	In the Mix	2005	95	Comedy,Crime,Drama
216812	tt0426627	5.8	3625	Stoned	2005	102	Biography,Drama,Music
216980	tt0426883	6.9	92521	Alpha Dog	2006	118	Biography,Crime,Drama
217000	tt0426931	7.5	95179	August Rush	2007	114	Drama,Music
217069	tt0427089	5.8	4651	Confetti	2006	100	Comedy,Music,Romance
217093	tt0427152	5.9	86261	Dinner for Schmucks	2010	114	Comedy
217109	tt0427208	6.3	2393	Borrowed Bride	2005	100	Drama
217118	tt0427229	5.6	63639	Failure to Launch	2006	97	Comedy,Romance
217136	tt0427276	7.8	1344	The Future of Food	2004	88	Documentary
217149	tt0427309	7.6	51350	The Great Debaters	2007	126	Biography,Drama,Romance
217151	tt0427312	7.8	45866	Grizzly Man	2005	103	Biography,Documentary
217158	tt0427323	2.9	5263	The Chaos Class in the Military	2005	112	Comedy
217160	tt0427327	6.7	106836	Hairspray	2007	117	Comedy,Drama,Music
217166	tt0427339	7.1	4294	Hawaii, Oslo	2004	125	Drama
217196	tt0427392	5.9	68740	The Invasion	2007	99	Sci-Fi,Thriller
217234	tt0427470	7.1	53418	The Lookout	2007	99	Crime,Drama,Thriller
217275	tt0427582	7.3	8945	The Method	2005	115	Comedy,Crime,Drama
217390	tt0427910	7.9	1256	Trip Out	2005	93	Drama
217409	tt0427944	7.6	200946	Thank You for Smoking	2005	92	Comedy,Drama
217415	tt0427954	7.1	32232	The Protector	2005	111	Action,Crime,Drama
217422	tt0427968	5.7	8010	Trust the Man	2005	103	Comedy,Drama,Romance
217423	tt0427969	6.5	30648	Hollywoodland	2006	126	Biography,Crime,Drama
217430	tt0427998	6.0	5110	The Grand	2007	104	Comedy
217451	tt0428038	7.2	3246	Sweet Land	2005	110	Drama,Romance
217462	tt0428059	7.7	4658	Toss-Up	2004	102	Drama
217551	tt0428212	3.8	1319	All Souls Day: Dia de los Muertos	2005	88	Horror,Thriller
217566	tt0428251	4.7	8635	Venom	2005	87	Fantasy,Horror,Thriller
217597	tt0428390	4.7	1872	Severed	2005	93	Horror,Sci-Fi,Thriller
217607	tt0428430	6.6	1891	Côte d'Azur	2005	96	Comedy,Musical,Romance
217613	tt0428441	7.8	2230	The Cutting Edge: The Magic of Movie Editing	2004	98	Documentary
217618	tt0428446	6.0	9150	The Darwin Awards	2006	94	Adventure,Comedy,Romance
217649	tt0428541	6.4	7312	Five Fingers	2006	87	Drama,Thriller
217660	tt0428579	5.5	6878	Suburban Girl	2007	97	Comedy,Drama,Romance
217680	tt0428646	4.6	2255	Hui Buh: Das Schlossgespenst	2006	103	Adventure,Animation,Comedy
217681	tt0428649	6.1	3018	I Am a Sex Addict	2005	98	Biography,Comedy,Romance
217705	tt0428725	6.2	2600	Born to Fight	2004	96	Action,Crime,Drama
217731	tt0428765	4.8	1314	The Legend of Lucy Keyes	2005	93	Drama,Thriller
217738	tt0428803	7.6	51132	March of the Penguins	2005	80	Documentary,Family
217755	tt0428856	6.7	4450	La moustache	2005	87	Drama,Mystery
217762	tt0428870	8.2	18165	A Moment to Remember	2004	117	Drama,Romance
217826	tt0429052	6.4	1143	Saint-Jacques... La Mecque	2005	110	Comedy,Drama
217834	tt0429068	6.8	1190	The Second Chance	2006	102	Drama
217839	tt0429078	6.2	8424	Seven Swords	2005	153	Action,Adventure,Fantasy
217843	tt0429095	3.6	1430	Siegfried	2005	89	Comedy
217853	tt0429115	4.9	1289	Splinter	2006	90	Crime,Thriller
217863	tt0429153	6.0	1602	Tara Road	2005	97	Drama
217875	tt0429177	6.6	2179	The Thing About My Folks	2005	96	Comedy,Drama
218036	tt0429493	6.8	226331	The A-Team	2010	117	Action,Adventure,Comedy
218057	tt0429541	3.6	1013	Afsana Dilwalon Ka	2001	195	Drama,Romance
218070	tt0429573	5.0	23174	An American Haunting	2005	83	Horror,Mystery,Thriller
218075	tt0429589	5.8	32719	The Ant Bully	2006	88	Adventure,Animation,Comedy
218077	tt0429591	5.3	33720	Aquamarine	2006	104	Comedy,Family,Fantasy
