	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
4522	tt0019254	8.2	34242	The Passion of Joan of Arc	1928	110	Biography,Drama,History
4523	tt0019258	8.1	2048	The Patsy	1928	78	Comedy,Drama,Romance
4532	tt0019286	7.3	1446	Storm Over Asia	1928	127	Drama,War
4547	tt0019344	7.9	2243	Sadie Thompson	1928	97	Drama
4562	tt0019379	8.2	3038	Show People	1928	83	Comedy,Romance
4576	tt0019412	7.7	2539	Speedy	1928	85	Action,Comedy,Family
4578	tt0019415	7.7	2542	Spies	1928	178	Romance,Thriller
4580	tt0019421	8.0	10743	Steamboat Bill, Jr.	1928	70	Action,Comedy,Drama
4582	tt0019429	7.5	1741	Street Angel	1928	102	Drama
4633	tt0019558	7.6	1277	The Wedding March	1928	113	Drama
4634	tt0019563	7.3	1300	West of Zanzibar	1928	65	Drama,Mystery
4639	tt0019585	8.3	5209	The Wind	1928	95	Drama,Romance,Western
4642	tt0019591	7.7	1155	A Woman of Affairs	1928	98	Drama
4663	tt0019644	7.3	1128	Applause	1929	80	Drama,Musical
4665	tt0019649	7.4	1411	Arsenal	1929	90	Drama,War
4667	tt0019655	7.6	1092	Asphalt	1929	90	Drama
4690	tt0019702	7.0	7966	Blackmail	1929	85	Crime,Thriller
4704	tt0019729	6.2	5244	The Broadway Melody	1929	100	Drama,Musical,Romance
4715	tt0019760	8.4	18114	Man with a Movie Camera	1929	68	Documentary,Music
4722	tt0019777	7.2	6073	The Cocoanuts	1929	96	Comedy,Musical
4727	tt0019788	7.1	1794	Coquette	1929	76	Drama,Romance
4739	tt0019811	8.1	1014	Desert Nights	1929	62	Adventure,Drama,Romance
4771	tt0019901	7.4	2269	Woman in the Moon	1929	156	Comedy,Drama,Romance
4796	tt0019959	6.9	1295	Hallelujah	1929	109	Drama,Musical
4810	tt0019993	7.4	1594	The Hollywood Revue of 1929	1929	130	Musical
4860	tt0020112	7.2	1607	The Love Parade	1929	107	Comedy,Musical,Romance
4873	tt0020142	6.3	2102	The Manxman	1929	110	Drama,Romance
4874	tt0020143	8.1	1013	Marianne	1929	111	Drama,Musical,Romance
4881	tt0020163	7.5	2205	People on Sunday	1930	73	Comedy,Drama,Romance
4929	tt0020269	7.3	1071	Piccadilly	1929	92	Crime,Drama
4938	tt0020298	7.8	2849	Queen Kelly	1929	101	Drama
4997	tt0020442	7.1	1498	Spite Marriage	1929	76	Comedy
5014	tt0020475	8.0	3383	Diary of a Lost Girl	1929	104	Drama
5036	tt0020514	7.8	1119	The Trespasser	1929	90	Drama
5084	tt0020620	5.8	1123	Abraham Lincoln	1930	96	Biography,Drama,History
5087	tt0020629	8.1	50937	All Quiet on the Western Front	1930	136	Drama,War
5092	tt0020640	7.7	11640	Animal Crackers	1930	97	Comedy,Musical
5093	tt0020641	6.9	2314	Anna Christie	1930	89	Drama,Romance
5123	tt0020686	7.2	1453	The Big House	1930	87	Crime,Drama,Thriller
5127	tt0020691	7.2	2772	The Big Trail	1930	125	Adventure,Romance,Western
5132	tt0020697	7.8	11562	The Blue Angel	1930	106	Drama,Music
5176	tt0020768	7.9	2333	City Girl	1930	77	Drama,Romance
5203	tt0020815	7.8	1338	The Dawn Patrol	1930	108	Action,Drama,War
5212	tt0020827	6.9	2242	The Divorcee	1930	84	Drama,Romance
5246	tt0020891	7.7	1058	The Florodora Girl	1930	79	Drama,Musical,Romance
5290	tt0020960	7.7	4120	Hell's Angels	1930	127	Drama,War
5324	tt0021015	4.8	1733	The Shame of Mary Boyle	1930	85	Comedy,Drama
5369	tt0021079	7.3	9912	Little Caesar	1931	79	Action,Crime,Drama
5407	tt0021148	7.3	1334	Min and Bill	1930	69	Comedy,Drama
5413	tt0021156	7.3	4257	Morocco	1930	92	Drama,Romance
5415	tt0021165	6.4	4691	Murder!	1930	104	Crime,Mystery,Thriller
5506	tt0021331	7.5	4735	The Blood of a Poet	1932	55	\N
5560	tt0021409	7.3	1685	Under the Roofs of Paris	1930	96	Comedy,Drama,Musical
5637	tt0021542	7.6	1088	Westfront 1918	1930	97	Drama,Romance,War
5657	tt0021571	7.4	3952	Earth	1930	75	Drama
5661	tt0021577	7.4	10637	L'Age d'Or	1930	60	Comedy,Drama
5692	tt0021622	6.2	1248	Arrowsmith	1931	108	Drama
5726	tt0021668	7.1	1077	The Black Camel	1931	71	Crime,Mystery,Thriller
5729	tt0021673	7.1	1158	Blonde Crazy	1931	79	Comedy,Crime,Drama
5767	tt0021730	7.3	2250	The Champ	1931	86	Drama,Sport
5772	tt0021739	7.7	2791	La Chienne	1931	91	Drama
5776	tt0021746	6.0	4351	Cimarron	1931	123	Drama,Western
5778	tt0021749	8.6	131004	City Lights	1931	87	Comedy,Drama,Romance
5779	tt0021750	7.2	1015	City Streets	1931	83	Crime,Drama,Film-Noir
5812	tt0021800	7.3	1421	Dishonored	1931	91	Drama,Romance,War
5819	tt0021814	7.6	37957	Dracula	1931	75	Fantasy,Horror
5820	tt0021815	7.2	3425	Drácula	1931	104	Fantasy,Horror
5822	tt0021818	7.5	1669	The 3 Penny Opera	1931	112	Comedy,Drama,Musical
5854	tt0021873	7.3	1362	Five Star Final	1931	89	Crime,Drama
5855	tt0021874	7.9	1059	Five and Ten	1931	89	Drama,Romance
5862	tt0021884	7.9	54618	Frankenstein	1931	70	Drama,Horror,Sci-Fi
5863	tt0021885	6.7	1811	A Free Soul	1931	93	Crime,Drama,Romance
5866	tt0021890	6.8	1802	The Front Page	1931	101	Comedy
5921	tt0021985	7.8	1136	Hyppolit, the Butler	1931	72	Comedy
5932	tt0022000	7.8	1190	Indiscreet	1931	92	Comedy,Drama,Musical
5962	tt0022054	7.8	1167	The Last Flight	1931	76	Drama
5976	tt0022074	7.8	2825	The Smiling Lieutenant	1931	93	Comedy,Musical,Romance
5979	tt0022080	7.4	1306	Limite	1931	114	Drama,Romance
5993	tt0022100	8.4	115982	M	1931	117	Crime,Drama,Mystery
6000	tt0022111	7.3	2414	The Maltese Falcon	1931	80	Crime,Drama,Film-Noir
6009	tt0022125	7.9	1623	Marius	1931	130	Comedy,Drama,Romance
6026	tt0022150	7.6	2724	Le Million	1931	81	Comedy,Musical
6029	tt0022153	7.3	1517	The Miracle Woman	1931	90	Drama,Romance
6031	tt0022158	7.6	9877	Monkey Business	1931	77	Comedy,Musical
6050	tt0022183	7.8	1921	Mädchen in Uniform	1931	88	Drama,Romance
6065	tt0022208	7.1	2578	Night Nurse	1931	72	Comedy,Crime,Drama
6093	tt0022251	7.0	1627	Pardon Us	1931	56	Comedy,Crime,Drama
6101	tt0022264	7.5	1122	The Phantom of Paris	1931	74	Drama,Thriller
6104	tt0022268	6.9	2408	Platinum Blonde	1931	89	Comedy,Romance
6108	tt0022276	6.8	1345	Possessed	1931	76	Drama,Romance
6114	tt0022286	7.7	14967	The Public Enemy	1931	83	Crime,Drama
6178	tt0022395	5.8	2378	The Skin Game	1931	85	Drama
6183	tt0022403	6.9	1374	Smart Money	1931	81	Crime,Drama
6209	tt0022436	7.7	1118	Street Scene	1931	80	Drama,Romance
6223	tt0022454	6.9	1418	Svengali	1931	81	Drama,Horror,Romance
6226	tt0022458	7.6	3983	Tabu: A Story of the South Seas	1931	86	Adventure,Drama,Romance
6245	tt0022485	7.4	1018	Tokyo Chorus	1931	90	Comedy,Drama
6248	tt0022489	7.8	1233	Tonight or Never	1931	80	Comedy,Romance
6280	tt0022550	7.6	2102	Waterloo Bridge	1931	81	Drama,Romance
6311	tt0022599	7.6	3431	À Nous la Liberté	1931	104	Comedy,Musical
6330	tt0022626	7.5	1552	American Madness	1932	75	Drama
6370	tt0022685	6.6	1211	A Bill of Divorcement	1932	70	Drama
6380	tt0022698	7.2	3407	Blonde Venus	1932	93	Drama
6397	tt0022718	7.5	4373	Boudu Saved from Drowning	1932	85	Comedy
6407	tt0022735	7.1	1154	The Cabin in the Cotton	1932	78	Drama
6467	tt0022827	6.5	2140	Doctor X	1932	76	Comedy,Crime,Horror
6471	tt0022834	7.7	1452	Downstairs	1932	77	Drama,Romance
6472	tt0022835	7.7	10610	Dr. Jekyll and Mr. Hyde	1931	98	Horror,Sci-Fi
6490	tt0022867	6.8	1622	Ecstasy	1933	82	Drama,Romance
6496	tt0022877	7.7	1212	Fanny	1932	140	Comedy,Drama
6498	tt0022879	6.6	4020	A Farewell to Arms	1932	80	Drama,Romance,War
6519	tt0022913	7.9	35872	Freaks	1932	64	Drama,Horror
6548	tt0022958	7.6	14582	Grand Hotel	1932	112	Drama,Romance
6595	tt0023027	7.7	10263	Horse Feathers	1932	68	Comedy,Musical,Romance
6609	tt0023042	8.1	9901	I Am a Fugitive from a Chain Gang	1932	92	Crime,Drama,Film-Noir
6615	tt0023049	7.2	1291	If I Had a Million	1932	88	Comedy,Drama
6632	tt0023074	7.5	1327	Jewel Robbery	1932	68	Comedy,Crime,Romance
6690	tt0023158	7.7	3055	Love Me Tonight	1932	104	Comedy,Musical,Romance
6712	tt0023194	6.4	2610	The Mask of Fu Manchu	1932	68	Adventure,Horror,Sci-Fi
6714	tt0023196	6.7	2755	Mata Hari	1931	89	Crime,Drama,Romance
6743	tt0023238	7.2	8165	The Most Dangerous Game	1932	63	Adventure,Horror,Mystery
6745	tt0023241	7.2	1109	Movie Crazy	1932	84	Comedy,Family,Romance
6748	tt0023245	7.2	18925	The Mummy	1932	73	Fantasy,Horror
6750	tt0023249	6.4	2962	Murders in the Rue Morgue	1932	61	Crime,Horror,Mystery
6774	tt0023285	5.8	3847	Number 17	1932	66	Crime,Mystery,Thriller
6780	tt0023293	7.3	6444	The Old Dark House	1932	72	Comedy,Horror,Thriller
6787	tt0023303	7.4	1654	One Hour with You	1932	80	Comedy,Musical,Romance
6789	tt0023305	8.0	2761	One Way Passage	1932	67	Comedy,Drama,Romance
6793	tt0023312	7.3	1616	Pack Up Your Troubles	1932	68	Comedy,War
6827	tt0023362	6.5	1074	The Purchase Price	1932	68	Comedy,Drama
6833	tt0023369	6.9	2023	Rain	1932	94	Drama
6844	tt0023382	7.4	3153	Red Dust	1932	83	Drama,Romance
6847	tt0023385	7.1	2185	Red-Headed Woman	1932	79	Comedy,Romance
6853	tt0023395	5.9	3379	East of Shanghai	1931	92	Comedy,Romance,Thriller
6878	tt0023427	7.8	21639	Scarface	1932	93	Action,Crime,Drama
6894	tt0023458	7.4	5713	Shanghai Express	1932	82	Adventure,Drama,Romance
6901	tt0023470	6.9	1668	The Sign of the Cross	1932	108	Drama,History
6917	tt0023491	7.2	1081	So Big!	1932	81	Drama,Romance
6961	tt0023551	7.2	6022	Tarzan the Ape Man	1932	100	Action,Adventure,Romance
6967	tt0023563	7.9	9671	The Testament of Dr. Mabuse	1933	122	Crime
6985	tt0023590	7.3	2554	Three on a Match	1932	63	Crime,Drama,Romance
7005	tt0023622	8.2	10842	Trouble in Paradise	1932	83	Comedy,Crime,Romance
7011	tt0023634	8.1	3838	I Was Born, But...	1932	100	Comedy,Drama
7021	tt0023649	7.6	12629	Vampyr	1932	83	Fantasy,Horror
7047	tt0023686	7.6	1560	What Price Hollywood?	1932	88	Drama
7055	tt0023694	6.4	7628	White Zombie	1932	69	Horror
7079	tt0023731	7.1	1897	20,000 Years in Sing Sing	1932	78	Crime,Drama,Film-Noir
7092	tt0023753	6.5	1607	Alice in Wonderland	1933	76	Adventure,Family,Fantasy
7108	tt0023775	7.6	4871	Baby Face	1933	71	Drama,Romance
7138	tt0023814	7.1	2896	The Bitter Tea of General Yen	1932	88	Drama,Romance,War
7146	tt0023825	7.3	1848	Bombshell	1933	96	Comedy,Drama,Romance
7182	tt0023871	7.8	1079	A Song of Lisbon	1933	85	Comedy,Musical
7185	tt0023876	6.0	3583	Cavalcade	1933	112	Drama,Romance,War
